Dayn;SiteTerm;ka010;eps010;HeSpec;GWL;NDVI;rb;pd;Po;alfa;teta1;teta2;MEAN_B02;MEAN_B03;MEAN_B04;MEAN_B05;MEAN_B06;MEAN_B07;MEAN_B08;MEAN_B8A;MEAN_B11;MEAN_B12;NDWI;NDMI;VDSI;NDVIsat;TCwet;NMDI;STR;NDRE;NSMI;AVI;BSI;SI;NPCRI;NDWIsent;GCC;ARI;ARI2;EVI;EVI2;MSI;MCARI;NDII;ChRE;CCCI;NDVI_GR;PSRI;SAVI;MSAVI2;SR;BAI;CIg;CIre;CM;EVI3;FMR;GNDVI;IrOxR;MTVI2;MCARI2;NBRI;NDBI;NDSI;NDVIre;RTVICore;SRre;VARI;EVSI;WCI;ChlAP8;ChlAP1;NDCI;3BI;Idrozd;OPTRAMexp;FAI;SABI;IGAG;VBFAH;SA;SEI ;MAI;SUI;SS;GLI;OSAVI;NSDSI1;NSDSI2;NSDSI3;GVMI;SMI;SMDI;WI;MNDWI;NDWI2;AWEI1;AWEI2;AWEI3;MLSWI;SWM;SWCI;ANDWI;AWEInsh;AWEIsh;LSWI;MLSWI26;MLSWI27;MuWIR;NDPonI;NDTI;NDVI_MNDWI;NWI;OSI;PI;RNDVI;S2WI;TWI;WI1;WI2;WI2015;WRI;OPTRAMlin
162;LMU_2;18.6;0.0229;0.5;65.1;0.35;0.9905;2.2118;0.5522;0.4368;0.3718;0.3747;0.081221852;0.111761111;0.123955185;0.189677037;0.28132963;0.324567407;0.323045185;0.381817407;0.365563704;0.227094074;-0.485926896;-0.061745527;0.327075185;0.44539113;0.07495175;0.467718318;1.31527776;0.260117745;0.233641799;0.224615224;0.095382853;0.894174447;0.208275419;-0.061745527;0.352627513;3.675536741;1.192959431;0.341465946;0.330211387;1.131617868;0.076722516;-0.061745527;0.58439952;0.584020937;0.156290102;0.225295239;0.315348346;0.671228351;2.606144993;14.33350211;1.890497258;0.703132811;1.609745676;0.341465946;1.131617868;0.485926896;1.52613099;0.192159145;0.192159145;-0.061745527;0.061745527;-0.531718831;0.260117745;11.22397407;1.703132811;-0.078928884;-0.493563219;3.756651683;0.917565213;-0.01296537;0.2095507;0.786404176;0.417220838;0.244005143;0.244343659;1.031645472;2.977659424;0.20379229;1.12480226;-0.061745527;0.136723079;0.120309523;665.0553392;0.042792668;0.380468302;0.378783857;0.609745676;0.233641799;-0.102791872;-0.44539113;0.061745527;0.345961235;-0.531718831;-0.493563219;-1.547393333;-1.72048037;-0.729062222;0.497606652;0.280250467;0.280250467;-0.485757622;-0.471462963;-0.729062222;-0.061745527;0.298691204;0.497606652;-0.487862321;0.531718831;0.051731994;0.977109961;-0.837055211;2.902129057;0.722695565;-0.44539113;-0.089778384;-1.228440742;-0.340360626;-0.47312581;-33.98379333;0.342307949;0.192427097
172;LMU_3;16.8;0.0172;18.3;70;0.72;0.9905;2.2118;0.5522;0.3992;0.357;0.3598;0.051484074;0.080881852;0.068701852;0.141215556;0.271716667;0.313438519;0.357966296;0.348806296;0.30528;0.187973333;-0.631390256;0.079437;0.271013704;0.677961188;0.046254273;0.496659926;1.753938433;0.434211981;0.23782235;0.201641763;-0.045273244;0.932899591;0.143259518;0.079437;0.402261629;5.282340118;1.655688861;0.522497566;0.486612579;0.852817718;0.124247764;0.079437;0.450536699;0.640467314;0.410565644;0.121925504;0.468233064;0.829347901;5.210431548;11.14038708;3.425792537;1.534892809;1.62406015;0.522497566;0.852817718;0.631390256;1.334429201;0.337174132;0.337174132;0.079437;-0.079437;-0.581098695;0.434211981;18.90422963;2.534892809;0.12415949;-0.63259259;3.620415982;0.997833858;-0.028993704;0.345439212;2.03088524;0.527496377;0.156490238;0.333575907;2.185339183;5.414534231;0.284567582;1.634262398;0.079437;0.082237384;0.278315421;665.0371919;0.147465268;0.571953253;0.384259259;0.62406015;0.23782235;0.072975688;-0.677961188;-0.079437;0.225948232;-0.581098695;-0.63259259;-1.3573775;-1.504010833;-0.788174074;0.547056049;0.199572808;0.199572808;-0.617846272;-0.4701575;-0.788174074;0.079437;0.355482774;0.547056049;-0.589950864;0.581098695;-0.081425982;1.259059883;-0.885933615;2.905436417;0.838980594;-0.677961188;-0.142039356;-1.983042542;-0.398324032;-0.569993891;-36.38404519;0.225532663;0.130059929
192;LMU_4;11.2;0.0069;24.3;75.4;0.8;0.9905;2.2118;0.5522;0.2822;0.2968;0.3006;0.042021111;0.072213704;0.048641481;0.123945185;0.338454815;0.409867407;0.442382593;0.440552963;0.249747037;0.131176296;-0.719338424;0.278322943;0.214346296;0.801877407;0.036538291;0.575869383;2.877252405;0.562284634;0.311271929;0.208440619;-0.237630344;0.945618662;0.073022072;0.278322943;0.443365335;5.77970451;2.368912503;0.693658941;0.633778276;0.564549874;0.165520409;0.278322943;0.302403126;0.701210222;0.570855543;0.053413695;0.595960968;1.048808749;9.094759845;6.717985603;5.126019992;2.569179327;1.903903709;0.693658941;0.564549874;0.719338424;1.157548675;0.47723917;0.47723917;0.278322943;-0.278322943;-0.551412986;0.562284634;28.14205185;3.569179327;0.29901058;-0.673972164;1.921282112;1.369976458;-0.069602963;0.436323994;4.227470435;0.602602877;0.254687493;0.431408501;3.446769811;9.228285493;0.384651169;2.224526051;0.278322943;0.065851204;0.381429605;665.034753;0.228698859;0.70157112;0.474763353;0.903903709;0.311271929;0.314792435;-0.801877407;-0.278322943;0.163238122;-0.551412986;-0.673972164;-1.03325037;-1.181463796;-0.848433148;0.619112963;0.165048294;0.165048294;-0.669683163;-0.459994167;-0.848433148;0.278322943;0.38132763;0.619112963;-0.409850615;0.551412986;-0.195045187;1.353290392;-0.902878081;2.876058771;0.900938703;-0.801877407;-0.028343796;-3.689750541;-0.289899172;-0.514760507;-37.30404741;0.174613512;0.295475356
237;LMU_5;11.3;0.0072;1;61.5;0.46;0.9905;2.2118;0.5522;0.2843;0.2982;0.3019;0.051610741;0.079204074;0.072633704;0.119243704;0.265721852;0.313871852;0.306658148;0.364718148;0.25700963;0.141101852;-0.589469663;0.088081172;0.226421852;0.617003617;0.047231616;0.517679877;2.614090528;0.440041394;0.291144022;0.185026033;-0.041612221;0.932109873;0.169206463;0.088081172;0.389307696;4.239426142;1.330636534;0.431658421;0.407207993;0.83809816;0.063373531;0.088081172;0.379912066;0.713190947;0.337670111;0.176302499;0.399226566;0.724756731;4.221981429;16.23662445;2.871747151;1.571692581;1.821447602;0.431658421;0.83809816;0.589469663;1.407336974;0.26865488;0.26865488;0.088081172;-0.088081172;-0.528846842;0.440041394;16.4669037;2.571692581;0.06555487;-0.559319444;6.299492672;1.011505876;-0.049934074;0.242915519;1.429989098;0.464119029;0.424655272;0.268558348;1.788975085;4.465407412;0.231490772;1.322172003;0.088081172;0.087389606;0.242211633;665.0502099;0.120868177;0.503379301;0.450986128;0.821447602;0.291144022;0.002482288;-0.617003617;-0.088081172;0.258281329;-0.528846842;-0.559319444;-1.03103213;-1.175916852;-0.631156204;0.66180618;0.232077866;0.232077866;-0.551983146;-0.399856667;-0.631156204;0.088081172;0.459127208;0.66180618;-0.368280897;0.528846842;-0.043272303;1.145850459;-0.863532311;2.941980208;0.808501808;-0.617003617;-0.083958215;-2.449826624;-0.280962836;-0.464376043;-27.56753741;0.269374592;0.380748529
242;LMU_6;9.4;0.003;6.8;70.3;0.38;0.9905;2.2118;0.5522;0.2446;0.2694;0.275;0.056662593;0.082710741;0.086467037;0.13999963;0.245744074;0.293649259;0.294484444;0.338531111;0.331488148;0.198852222;-0.561443285;-0.059113936;0.30463;0.546046984;0.053221756;0.436989791;1.613856146;0.355559212;0.25009585;0.189918165;0.086865109;0.924625491;0.208233924;-0.059113936;0.36623541;4.947452146;1.452815658;0.374585513;0.361520144;1.125655886;0.068123746;-0.059113936;0.476757987;0.651151315;0.270254208;0.212889452;0.354192163;0.679301846;3.405742287;18.12707581;2.560413579;1.103465882;1.667007512;0.374585513;1.125655886;0.561443285;1.525998601;0.222257119;0.222257119;-0.059113936;0.059113936;-0.600623068;0.355559212;13.33074444;2.103465882;-0.033384794;-0.586237759;10.40179452;0.886221872;-0.026105926;0.236381775;1.086735531;0.440663936;0.24456624;0.25391025;1.492519426;3.695607737;0.209465914;1.17523959;-0.059113936;0.095338588;0.170792454;665.0412257;0.072246869;0.446066239;0.400122679;0.667007512;0.25009585;-0.145033765;-0.546046984;0.059113936;0.280866247;-0.600623068;-0.586237759;-1.449779444;-1.615574352;-0.7252325;0.560240364;0.222650856;0.222650856;-0.570100212;-0.52188713;-0.7252325;-0.059113936;0.360680879;0.560240364;-0.599661371;0.600623068;0.022203249;1.146670052;-0.871438679;2.985704855;0.773023492;-0.546046984;-0.17368237;-1.601540491;-0.41248849;-0.556482918;-33.52604778;0.270263874;0.19057056
247;LMU_7;7.4;0.0048;10.6;76.2;0.52;0.9905;2.2118;0.5522;0.2028;0.2304;0.2401;0.042020741;0.073864444;0.067857778;0.12515037;0.251317407;0.295484444;0.298926667;0.329415185;0.29078;0.167862222;-0.603722073;0.013814778;0.274596296;0.62998552;0.04316495;0.456516381;2.062564382;0.409775303;0.268003624;0.17812999;0.025286943;0.93865129;0.23514184;0.013814778;0.401998766;5.547925568;1.639325704;0.415317304;0.405744546;0.972746939;0.08674759;0.013814778;0.423543008;0.650451939;0.356756702;0.206447947;0.399872581;0.718591514;4.40519387;17.20605513;3.046962905;1.388540008;1.732253965;0.415317304;0.972746939;0.603722073;1.614863912;0.267166095;0.267166095;0.013814778;-0.013814778;-0.59486867;0.409775303;15.12700741;2.388540008;0.060246514;-0.621580425;7.95209027;0.921342933;-0.034437222;0.296840279;1.695466737;0.491459373;0.277388605;0.272822575;1.993946754;4.638205301;0.228752593;1.305473949;0.013814778;0.084154028;0.291194079;665.0367264;0.146930443;0.508822753;0.422717442;0.732253965;0.268003624;-0.069333758;-0.62998552;-0.013814778;0.24709888;-0.59486867;-0.621580425;-1.250367778;-1.404015;-0.699843704;0.613637119;0.19651327;0.19651327;-0.60960236;-0.480772778;-0.699843704;0.013814778;0.41366331;0.613637119;-0.291148365;0.59486867;-0.042383379;1.224854189;-0.894894233;3.372673107;0.81499276;-0.62998552;-0.145767974;-2.05250296;-0.388859777;-0.599579307;-31.37339111;0.240326641;0.237178242
292;LMU_8;24;0.0247;9.3;45.6;0.72;0.9905;2.2118;0.5522;0.5497;0.4098;0.4119;0.031424444;0.063023704;0.03949963;0.10948963;0.287146667;0.346657778;0.360560741;0.370848148;0.24139963;0.127601111;-0.702426732;0.197955076;0.21805037;0.802531655;0.030128454;0.530385634;2.982261732;0.534136609;0.30839645;0.170222048;-0.165089157;0.955256237;0.113856759;0.197955076;0.470509513;6.733760835;2.334310567;0.589373231;0.550366743;0.669511687;0.168246433;0.197955076;0.315843569;0.665564537;0.557215033;0.073752968;0.535065961;0.893186674;9.128205609;10.63863133;4.721033826;2.293104031;1.891830154;0.589373231;0.669511687;0.702426732;1.256971454;0.411971074;0.411971074;0.197955076;-0.197955076;-0.585946957;0.534136609;22.13174074;3.293104031;0.330864159;-0.71876302;2.014909864;1.164594061;-0.053833519;0.469765407;4.647011664;0.627384769;0.27566168;0.358877302;3.399337281;9.261280239;0.311989736;1.813904583;0.197955076;0.05797544;0.450135164;665.029376;0.279854388;0.664983471;0.471411322;0.891830154;0.30839645;0.154392173;-0.802531655;-0.197955076;0.174793583;-0.585946957;-0.71876302;-1.012298796;-1.154546944;-0.74585713;0.667289712;0.15690094;0.15690094;-0.689759487;-0.452740833;-0.74585713;0.197955076;0.451886985;0.667289712;-0.158171532;0.585946957;-0.229450929;1.388478612;-0.917411234;3.262534474;0.901265827;-0.802531655;-0.076390505;-3.318059092;-0.338767056;-0.60478749;-32.54596185;0.170315752;0.317603711
302;LMU_9;27.8;0.0249;11;43.4;0.73;0.9905;2.2118;0.5522;0.6291;0.4336;0.4334;0.026433704;0.056256667;0.035070741;0.096018519;0.260182963;0.310594815;0.346530741;0.33930963;0.196485185;0.101942963;-0.72066323;0.276318886;0.178688519;0.8161918;0.026587982;0.564172785;3.95567491;0.566066301;0.31680062;0.1595786;-0.233918534;0.960664261;0.140429478;0.276318886;0.477718545;7.361013365;2.286292583;0.573083551;0.54104169;0.567006508;0.145093614;0.276318886;0.309143984;0.693545685;0.582844774;0.089951784;0.52993332;0.873655767;9.880907372;11.58538134;5.15981645;2.608999036;1.927403123;0.573083551;0.567006508;0.72066323;1.326743355;0.403665985;0.403665985;0.276318886;-0.276318886;-0.554829038;0.566066301;22.14848148;3.608999036;0.326471209;-0.697086217;2.11151708;1.06599565;-0.051608333;0.464933421;4.709087832;0.625604447;0.457389605;0.341693182;3.766581267;10.00329858;0.303290264;1.759661017;0.276318886;0.054265486;0.468711527;665.0274636;0.293124585;0.667083847;0.481167179;0.927403123;0.31680062;0.178200066;-0.8161918;-0.276318886;0.1623425;-0.554829038;-0.697086217;-0.80971213;-0.927889907;-0.672934259;0.730099779;0.152279825;0.152279825;-0.691207491;-0.367203611;-0.672934259;0.276318886;0.537657138;0.730099779;-0.021442276;0.554829038;-0.231977744;1.371020838;-0.921257089;3.454960698;0.9080959;-0.8161918;-0.029927259;-3.636472338;-0.288788895;-0.58818523;-28.89143333;0.168185504;0.515479546
162;LMUA_2;22.83;0.0283;64.9;63.5;0.8;0.6599;2.0139;0.6723;0.4576;0.4444;0.4657;0.067623036;0.093820357;0.087864643;0.147246786;0.294009821;0.347298571;0.3493025;0.378462143;0.300515357;0.1938075;-0.576549232;0.075078181;0.253133929;0.598027234;0.057525889;0.560121784;1.67678327;0.406919756;0.215866727;0.21384164;-0.035446839;0.916829072;0.130181422;0.075078181;0.376323037;3.867347867;1.343124389;0.477314137;0.436588646;0.860329821;0.081607976;0.075078181;0.423977516;0.680436832;0.315671273;0.137467226;0.418449141;0.777964784;3.975461444;11.9270252;2.723099236;1.372224958;1.55058683;0.477314137;0.860329821;0.576549232;1.299330057;0.28964634;0.28964634;0.075078181;-0.075078181;-0.52415998;0.406919756;17.65075;2.372224958;0.052214727;-0.547532608;6.598030103;1.019365924;-0.043690446;0.25257021;1.349452904;0.465757664;0.21430561;0.301267673;1.619377867;4.232960285;0.259141209;1.47705004;0.075078181;0.099506194;0.192929116;665.0551323;0.093705553;0.507844274;0.355082875;0.55058683;0.215866727;0.056455797;-0.598027234;-0.075078181;0.268593432;-0.52415998;-0.547532608;-1.313691429;-1.44707625;-0.721004732;0.541015151;0.248444069;0.248444069;-0.543781831;-0.381135;-0.721004732;0.075078181;0.368142777;0.541015151;-0.67511445;0.52415998;-0.03278044;1.122187213;-0.851581553;2.686732385;0.799013617;-0.598027234;-0.136519951;-2.002706401;-0.34762677;-0.482669188;-33.70742357;0.279593732;0.167313574
172;LMUA_3;16.33;0.0167;23.8;70.4;0.47;0.6599;2.0139;0.6723;0.3945;0.3744;0.3877;0.067989286;0.098226964;0.102564286;0.158110893;0.342654821;0.397613929;0.381868036;0.423015536;0.29492625;0.180392857;-0.590801969;0.12846117;0.261511964;0.576558866;0.063270593;0.573868027;1.861924799;0.414381249;0.240961054;0.237652311;-0.061800812;0.910277552;0.202722228;0.12846117;0.365454158;3.855829043;1.533131334;0.469470425;0.451572625;0.772325051;0.067166298;0.12846117;0.397649281;0.718714555;0.310776452;0.218675636;0.425580932;0.813307981;3.7232067;9.65198718;2.887609054;1.415191192;1.634910909;0.469470425;0.772325051;0.590801969;1.508536009;0.289219161;0.289219161;0.12846117;-0.12846117;-0.500312038;0.414381249;19.53930357;2.415191192;-0.03266007;-0.483940992;10.45726461;1.114151732;-0.064498661;0.213087443;1.173698185;0.428455429;0.280561998;0.315333451;1.680363683;3.987455057;0.280976312;1.577987288;0.12846117;0.118618404;0.167038437;665.0548627;0.070571738;0.502756208;0.388345876;0.634910909;0.240961054;0.14324139;-0.576558866;-0.12846117;0.257227511;-0.500312038;-0.483940992;-1.235177768;-1.378344509;-0.746732946;0.548184722;0.24559346;0.24559346;-0.522578595;-0.386183795;-0.746732946;0.12846117;0.353981498;0.548184722;-0.543427599;0.500312038;0.021601148;1.076870904;-0.853024172;2.953277827;0.788279433;-0.576558866;-0.065824867;-2.447216923;-0.294903257;-0.452542885;-33.98543286;0.296679884;0.229308415
